,index,SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
6042,53903,Vacant/Abandoned Building,16-03144105,2016-05-07,Rear,,Open,GOING THROUGH THE BACK DOOR,Vacant,false,true,8116,S,GREEN,ST,60620,1172049.97722631,1851034.06077447,21,6,71,41.746685019303015,-87.64514116394788,"(41.746685019303015, -87.64514116394788)"
6043,53904,Vacant/Abandoned Building,16-03109946,2016-05-06,Front,,Open,,Vacant,false,false,6711,S,PAXTON,AVE,60649,1192029.94020631,1860901.05531829,5,3,43,41.773299019413635,-87.57161047079079,"(41.773299019413635, -87.57161047079079)"
6044,53905,Vacant/Abandoned Building,16-03116097,2016-05-06,Front,,Open,,Vacant,false,false,8944,S,WINCHESTER,AVE,60620,1166059.75140392,1845215.297768,21,22,71,41.730846847453236,-87.66725588771055,"(41.730846847453236, -87.66725588771055)"
6045,53906,Vacant/Abandoned Building,16-02929177,2016-04-29,Front,,Open,FRONT WINDOWS ARE BUSTED OUT AND NEEDS TO BE BOARDED UP...,Vacant,false,false,8505,S,CREGIER,AVE,60617,1189670.12467338,1848920.46848657,8,4,45,41.740480270183596,-87.58064509415117,"(41.740480270183596, -87.58064509415117)"
6046,53907,Vacant/Abandoned Building,16-02987596,2016-05-02,Front,,Open,REAR DOOR,Vacant,false,true,1642,E,86TH,ST,60617,1188703.77380621,1848282.48352366,8,4,45,41.73875271589222,-87.58420599500076,"(41.73875271589222, -87.58420599500076)"
6047,53908,Vacant/Abandoned Building,16-02996943,2016-05-02,Rear,,Open,,Vacant,false,true,1417,S,KOSTNER,AVE,60623,1147279.81071418,1892895.65106641,24,10,29,41.86206739029414,-87.7348380784462,"(41.86206739029414, -87.7348380784462)"
6048,53909,Vacant/Abandoned Building,16-02910001,2016-04-28,Front,,Open,,Vacant,false,true,8749,S,ELIZABETH,ST,60620,1169521.41162026,1846760.55928503,21,22,71,41.735013056616914,-87.65452996813413,"(41.735013056616914, -87.65452996813413)"
6049,53910,Vacant/Abandoned Building,16-02764315,2016-04-23,Front,,Open,DOORS AND WINDOWS,Vacant,false,false,9101,S,DOBSON,AVE,60619,1184806.58357669,1844849.14701453,8,4,47,41.72942346862293,-87.59859170789656,"(41.72942346862293, -87.59859170789656)"
6050,53911,Vacant/Abandoned Building,16-02770472,2016-04-23,Front,,Open,WINDOW IN THE ATTIC IS OPEN,Vacant,false,true,8950,S,THROOP,ST,60620,1169220.5970814,1845714.30992959,21,22,73,41.73214850328015,-87.65566220755623,"(41.73214850328015, -87.65566220755623)"
6051,53912,Vacant/Abandoned Building,16-02821534,2016-04-25,Front,,Open,,Vacant,false,true,9620,S,WENTWORTH,AVE,60628,1176641.90056696,1841154.47710338,21,5,49,41.719472162397366,-87.62861170274599,"(41.719472162397366, -87.62861170274599)"
6052,53913,Vacant/Abandoned Building,16-02840486,2016-04-26,Front,,Open,FRONT,Vacant,true,false,7721,S,KOMENSKY,AVE,60652,1150796.02809123,1852982.43797183,18,8,70,41.752471778457505,-87.72297098935937,"(41.752471778457505, -87.72297098935937)"
6053,53914,Vacant/Abandoned Building,16-02622312,2016-04-18,Front,,Open,,Vacant,false,true,8520,S,MORGAN,ST,60620,1171135.00560331,1848325.669506,21,6,71,41.739272859915374,-87.64857281344723,"(41.739272859915374, -87.64857281344723)"
6054,53915,Vacant/Abandoned Building,16-02650797,2016-04-19,Front,,Open,FRONT AND REAR.. GARAGE,Vacant,false,false,8452,S,BLACKSTONE,AVE,60619,1187674.93527922,1849146.09508802,8,4,45,41.741147066563904,-87.5879479895352,"(41.741147066563904, -87.5879479895352)"
6055,53916,Vacant/Abandoned Building,16-02657557,2016-04-19,Front,,Open,,Vacant,false,false,8610,S,MARSHFIELD,AVE,60620,1166841.76718126,1847614.35220429,21,6,71,41.737413566502354,-87.66432277143534,"(41.737413566502354, -87.66432277143534)"
6056,53917,Vacant/Abandoned Building,16-02665260,2016-04-19,Garage,,Open,UNKNOWN,Vacant,false,false,113,W,83RD,ST,60620,1176914.88198679,1849952.57977293,21,6,44,41.74360914933084,-87.62734754272248,"(41.74360914933084, -87.62734754272248)"
6057,53918,Vacant/Abandoned Building,16-02668656,2016-04-19,Front,,Open,REAR DOOR AND REAR WINDOW ARE OPEN,Vacant,false,true,7636,S,DAMEN,AVE,60620,1164350.49790514,1854015.34790132,18,6,71,41.75503162409039,-87.67327022224711,"(41.75503162409039, -87.67327022224711)"
6058,53919,Vacant/Abandoned Building,16-02479483,2016-04-13,Front,,Boarded,,Vacant,false,false,5222,S,MORGAN,ST,60609,1170531.9794132,1870190.6250277,20,9,61,41.79928614718096,-87.65014586549194,"(41.79928614718096, -87.65014586549194)"
